State  Recv-Q Send-Q  Local Address:Port  Peer Address:PortProcess                                
LISTEN 0      511         127.0.0.1:9090       0.0.0.0:*                                          
LISTEN 0      4096        127.0.0.1:33331      0.0.0.0:*    users:(("clash-verge",pid=8493,fd=28))
LISTEN 0      10          127.0.0.1:35600      0.0.0.0:*                                          
LISTEN 0      4096        127.0.0.1:43799      0.0.0.0:*                                          
LISTEN 0      4096        127.0.0.1:19090      0.0.0.0:*                                          
LISTEN 0      4096   169.254.254.53:53         0.0.0.0:*                                          
LISTEN 0      511         127.0.0.1:18789      0.0.0.0:*    users:(("node",pid=2171,fd=25))       
LISTEN 0      511         127.0.0.1:18791      0.0.0.0:*    users:(("node",pid=2171,fd=28))       
LISTEN 0      4096       127.0.0.54:53         0.0.0.0:*                                          
LISTEN 0      4096    127.0.0.53%lo:53         0.0.0.0:*                                          
LISTEN 0      511       192.168.0.1:8080       0.0.0.0:*                                          
LISTEN 0      511       192.168.0.1:8080       0.0.0.0:*                                          
LISTEN 0      4096        127.0.0.1:11434      0.0.0.0:*                                          
LISTEN 0      4096        127.0.0.1:3306       0.0.0.0:*                                          
LISTEN 0      511      192.168.43.8:8082       0.0.0.0:*                                          
LISTEN 0      511       192.168.0.1:8443       0.0.0.0:*                                          
LISTEN 0      511       192.168.0.1:8443       0.0.0.0:*                                          
LISTEN 0      4096          0.0.0.0:12088      0.0.0.0:*                                          
LISTEN 0      4096          0.0.0.0:3000       0.0.0.0:*                                          
LISTEN 0      32      192.168.122.1:53         0.0.0.0:*                                          
LISTEN 0      4096        127.0.0.1:6379       0.0.0.0:*                                          
LISTEN 0      511           0.0.0.0:80         0.0.0.0:*                                          
LISTEN 0      511           0.0.0.0:80         0.0.0.0:*                                          
LISTEN 0      511           0.0.0.0:80         0.0.0.0:*                                          
LISTEN 0      511           0.0.0.0:80         0.0.0.0:*                                          
LISTEN 0      511           0.0.0.0:80         0.0.0.0:*                                          
LISTEN 0      511           0.0.0.0:80         0.0.0.0:*                                          
LISTEN 0      511           0.0.0.0:80         0.0.0.0:*                                          
LISTEN 0      511           0.0.0.0:80         0.0.0.0:*                                          
LISTEN 0      511           0.0.0.0:80         0.0.0.0:*                                          
LISTEN 0      511           0.0.0.0:80         0.0.0.0:*                                          
LISTEN 0      511           0.0.0.0:80         0.0.0.0:*                                          
LISTEN 0      511           0.0.0.0:80         0.0.0.0:*                                          
LISTEN 0      511           0.0.0.0:443        0.0.0.0:*                                          
LISTEN 0      511           0.0.0.0:443        0.0.0.0:*                                          
LISTEN 0      511           0.0.0.0:443        0.0.0.0:*                                          
LISTEN 0      511           0.0.0.0:443        0.0.0.0:*                                          
LISTEN 0      511           0.0.0.0:443        0.0.0.0:*                                          
LISTEN 0      511           0.0.0.0:443        0.0.0.0:*                                          
LISTEN 0      511           0.0.0.0:443        0.0.0.0:*                                          
LISTEN 0      511           0.0.0.0:443        0.0.0.0:*                                          
LISTEN 0      511           0.0.0.0:443        0.0.0.0:*                                          
LISTEN 0      511           0.0.0.0:443        0.0.0.0:*                                          
LISTEN 0      511           0.0.0.0:443        0.0.0.0:*                                          
LISTEN 0      511           0.0.0.0:443        0.0.0.0:*                                          
LISTEN 0      4096        127.0.0.1:7897       0.0.0.0:*                                          
LISTEN 0      4096          0.0.0.0:631        0.0.0.0:*                                          
LISTEN 0      4096                *:8089             *:*                                          
LISTEN 0      4096                *:8083             *:*                                          
LISTEN 0      4096             [::]:12088         [::]:*                                          
LISTEN 0      4096                *:3010             *:*                                          
LISTEN 0      4096                *:9966             *:*                                          
LISTEN 0      511             [::1]:18789         [::]:*    users:(("node",pid=2171,fd=26))       
LISTEN 0      4096                *:9998             *:*                                          
LISTEN 0      4096                *:9999             *:*                                          
LISTEN 0      4096             [::]:631           [::]:*                                          
