sandbox_id,e2e_delete_ms,cubelet_service_ms,master_api_tail_approx_ms,runtime_cubebox_ms,resource_phase_max_ms,storage_ms,network_ms,cgroup_ms,volume_ms,netfile_ms,sandbox_store_ms,cleanup_ms,del_task_sandbox_ms,del_sandbox_metadata_ms,sandbox_del_container_ms,shim_delete_container_stat_ms,shim_kill_ms,shim_wait_task_ms,shim_delete_req_ms,shim_shutdown_req_ms,shim_destroy_sandbox_ms,shim_guest_destroy_rpc_approx_ms,shim_wait_vm_shutdown_ms,shim_vmm_join_ms
08a70338cb684dd3bbad5a9de1b8dd93,125.526,120.3,5.226,115.376,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,114.823,0.0,115.051,0.0,3.638,28.069,0.071,77.974,77.956,0.598,50.461,26.897
2f31a933c72742abbb3bc508d32a5f8a,128.047,120.467,7.58,116.774,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,116.332,0.0,116.568,0.0,6.798,21.392,0.044,58.812,58.794,1.166,29.019,28.609
4dbe4154f67a4292adc0cd7bf48e0ebc,129.173,120.207,8.966,116.855,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,116.584,0.0,116.712,0.0,4.026,40.501,0.041,66.769,66.751,0.325,38.21,28.216
8517f11b2a264e2a9a0147989408a40a,126.265,119.36,6.905,116.344,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,115.835,0.0,116.12,0.0,17.084,23.329,0.027,56.836,56.817,0.457,29.081,27.279
ac4a84fea07e422aaf9acbca0ca93d42,129.099,120.958,8.141,118.12,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,117.742,0.0,117.889,0.0,8.547,1.954,0.033,77.988,77.968,0.89,49.661,27.417
b2efe8f91b9c4b7fb3e92a5ef4f4ff3e,118.53,106.5,12.03,98.698,7.578,7.445,7.578,0.0,0.0,0.0,0.0,0.0,98.298,0.0,98.493,0.0,53.418,7.851,0.022,33.661,33.645,0.458,17.921,15.266
c6b9e81323394aafa4e2de1c6f2e4686,126.962,119.67,7.292,115.728,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,115.271,0.0,115.552,0.0,11.085,17.905,0.054,62.969,62.949,0.458,37.966,24.525
cc052924ff934beb996a1f22a277345f,128.475,116.431,12.044,113.361,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,113.022,0.0,113.145,0.0,27.228,18.03,0.043,62.452,62.436,0.442,34.053,27.941
d37af8aa51c345069e4df92f8dee79a5,126.972,120.477,6.495,116.66,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,116.181,0.0,116.42,0.0,5.994,0.345,0.068,80.012,79.974,3.766,48.808,27.4
e65d0cdf57a64fd89821b774cd314690,130.016,123.986,6.03,119.192,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,118.802,0.0,119.029,0.0,2.102,52.072,0.034,60.644,60.625,0.538,34.061,26.026
