Linux 6.17.0-20-generic (zry) 	07/26/26 	_x86_64_	(12 CPU)

01:40:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:40:11     all    8.33    0.08    5.08    0.75    0.00    0.17    0.00    2.58    0.00   83.01
01:40:11       0    4.00    0.00    4.00    0.00    0.00    1.00    0.00    1.00    0.00   90.00
01:40:11       1   39.00    0.00    7.00    0.00    0.00    0.00    0.00    2.00    0.00   52.00
01:40:11       2    1.98    0.00    5.94    0.00    0.00    0.00    0.00    2.97    0.00   89.11
01:40:11       3    2.02    0.00    5.05    0.00    0.00    0.00    0.00    3.03    0.00   89.90
01:40:11       4    1.96    0.00    4.90    3.92    0.00    0.00    0.00    2.94    0.00   86.27
01:40:11       5    3.03    0.00    4.04    0.00    0.00    0.00    0.00    2.02    0.00   90.91
01:40:11       6    5.05    0.00    4.04    0.00    0.00    0.00    0.00    2.02    0.00   88.89
01:40:11       7   35.64    0.00    5.94    0.99    0.00    0.00    0.00    1.98    0.00   55.45
01:40:11       8    1.00    1.00    4.00    4.00    0.00    0.00    0.00    6.00    0.00   84.00
01:40:11       9    3.00    0.00    5.00    0.00    0.00    1.00    0.00    2.00    0.00   89.00
01:40:11      10    1.98    0.00    6.93    0.00    0.00    0.00    0.00    2.97    0.00   88.12
01:40:11      11    1.01    0.00    4.04    0.00    0.00    0.00    0.00    2.02    0.00   92.93

01:40:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:40:12     all    1.65    0.00    3.63    0.49    0.00    0.08    0.00    4.86    0.00   89.28
01:40:12       0    1.96    0.00    3.92    0.00    0.00    0.00    0.00    7.84    0.00   86.27
01:40:12       1    1.94    0.00    4.85    0.00    0.00    0.97    0.00    6.80    0.00   85.44
01:40:12       2    1.00    0.00    3.00    0.00    0.00    0.00    0.00    5.00    0.00   91.00
01:40:12       3    0.98    0.00    3.92    0.00    0.00    0.00    0.00    5.88    0.00   89.22
01:40:12       4    2.02    0.00    3.03    3.03    0.00    0.00    0.00    3.03    0.00   88.89
01:40:12       5    1.00    0.00    3.00    0.00    0.00    0.00    0.00    3.00    0.00   93.00
01:40:12       6    0.98    0.00    3.92    2.94    0.00    0.00    0.00    5.88    0.00   86.27
01:40:12       7    2.94    0.00    3.92    0.00    0.00    0.00    0.00    5.88    0.00   87.25
01:40:12       8    3.00    0.00    3.00    0.00    0.00    0.00    0.00    2.00    0.00   92.00
01:40:12       9    0.99    0.00    3.96    0.00    0.00    0.00    0.00    3.96    0.00   91.09
01:40:12      10    1.96    0.00    3.92    0.00    0.00    0.00    0.00    4.90    0.00   89.22
01:40:12      11    1.00    0.00    3.00    0.00    0.00    0.00    0.00    4.00    0.00   92.00

01:40:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:40:13     all    3.62    0.34    2.44    1.94    0.00    0.08    0.00    0.67    0.00   90.91
01:40:13       0    5.05    0.00    4.04    0.00    0.00    0.00    0.00    1.01    0.00   89.90
01:40:13       1    3.09    1.03    3.09    1.03    0.00    0.00    0.00    2.06    0.00   89.69
01:40:13       2    3.03    0.00    2.02    6.06    0.00    0.00    0.00    1.01    0.00   87.88
01:40:13       3    3.96    0.99    2.97    0.99    0.00    0.00    0.00    0.00    0.00   91.09
01:40:13       4    1.01    0.00    2.02    0.00    0.00    0.00    0.00    1.01    0.00   95.96
01:40:13       5    3.00    0.00    2.00    0.00    0.00    0.00    0.00    1.00    0.00   94.00
01:40:13       6   10.20    0.00    3.06    3.06    0.00    0.00    0.00    1.02    0.00   82.65
01:40:13       7    3.03    1.01    2.02    6.06    0.00    0.00    0.00    0.00    0.00   87.88
01:40:13       8    3.03    0.00    2.02    2.02    0.00    0.00    0.00    1.01    0.00   91.92
01:40:13       9    3.03    1.01    2.02    1.01    0.00    0.00    0.00    0.00    0.00   92.93
01:40:13      10    3.03    0.00    2.02    2.02    0.00    1.01    0.00    0.00    0.00   91.92
01:40:13      11    2.02    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   94.95

01:40:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:40:14     all    1.25    0.00    0.50    0.58    0.00    0.00    0.00    0.00    0.00   97.66
01:40:14       0    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
01:40:14       1    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
01:40:14       2    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
01:40:14       3    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
01:40:14       4    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
01:40:14       5    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:40:14       6    1.00    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   96.00
01:40:14       7    1.01    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00   94.95
01:40:14       8    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
01:40:14       9    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:40:14      10    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:40:14      11    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02

01:40:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:40:15     all    1.51    0.00    0.67    0.42    0.00    0.08    0.00    0.00    0.00   97.32
01:40:15       0    1.02    0.00    0.00    0.00    0.00    1.02    0.00    0.00    0.00   97.96
01:40:15       1    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
01:40:15       2    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
01:40:15       3    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
01:40:15       4    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
01:40:15       5    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
01:40:15       6    2.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   96.00
01:40:15       7    4.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
01:40:15       8    1.00    0.00    2.00    4.00    0.00    0.00    0.00    0.00    0.00   93.00
01:40:15       9    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:40:15      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:40:15      11    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98

01:40:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:40:16     all    1.66    0.00    0.83    0.25    0.00    0.08    0.00    0.00    0.00   97.17
01:40:16       0    2.94    0.00    1.96    0.00    0.00    0.00    0.00    0.00    0.00   95.10
01:40:16       1    1.98    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   96.04
01:40:16       2    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
01:40:16       3    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
01:40:16       4    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
01:40:16       5    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
01:40:16       6    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
01:40:16       7    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
01:40:16       8    1.98    0.00    0.00    2.97    0.00    0.00    0.00    0.00    0.00   95.05
01:40:16       9    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
01:40:16      10    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
01:40:16      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:40:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:40:17     all    1.34    0.00    0.42    0.67    0.00    0.00    0.00    0.00    0.00   97.57
01:40:17       0    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
01:40:17       1    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
01:40:17       2    2.02    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00   95.96
01:40:17       3    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:40:17       4    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:40:17       5    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:40:17       6    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
01:40:17       7    2.00    0.00    1.00    3.00    0.00    0.00    0.00    0.00    0.00   94.00
01:40:17       8    0.00    0.00    0.00    3.06    0.00    0.00    0.00    0.00    0.00   96.94
01:40:17       9    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
01:40:17      10    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:40:17      11    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
