File: cubelet
Build ID: 59992bdcb60a933437a4817bc2f015e341c72434
Type: cpu
Time: Jul 26, 2026 at 1:29am (HKT)
Duration: 8.15s, Total samples = 1.59s (19.51%)
Showing nodes accounting for 0.28s, 17.61% of 1.59s total
Showing top 30 nodes out of 295
      flat  flat%   sum%        cum   cum%
         0     0%     0%      1.17s 73.58%  net/http.(*conn).serve
         0     0%     0%      1.15s 72.33%  github.com/gin-gonic/gin.(*Context).Next
         0     0%     0%      1.15s 72.33%  github.com/gin-gonic/gin.(*Engine).ServeHTTP
         0     0%     0%      1.15s 72.33%  github.com/gin-gonic/gin.(*Engine).handleHTTPRequest
         0     0%     0%      1.15s 72.33%  github.com/gin-gonic/gin.CustomRecoveryWithWriter.func1
     0.01s  0.63%  0.63%      1.15s 72.33%  github.com/prometheus/client_golang/prometheus/promhttp.InstrumentHandlerCounter.func1
         0     0%  0.63%      1.15s 72.33%  github.com/tencentcloud/CubeSandbox/Cubelet/services/server.(*Server).ServeHttp.func1
         0     0%  0.63%      1.15s 72.33%  net/http.HandlerFunc.ServeHTTP
         0     0%  0.63%      1.15s 72.33%  net/http.serverHandler.ServeHTTP
         0     0%  0.63%      1.14s 71.70%  github.com/prometheus/client_golang/prometheus/promhttp.HandlerForTransactional.func1
         0     0%  0.63%      1.14s 71.70%  github.com/prometheus/client_golang/prometheus/promhttp.InstrumentMetricHandler.InstrumentHandlerInFlight.func1
         0     0%  0.63%      0.68s 42.77%  github.com/prometheus/client_golang/prometheus.(*Registry).Gather
         0     0%  0.63%      0.68s 42.77%  github.com/prometheus/client_golang/prometheus.(*noTransactionGatherer).Gather
     0.01s  0.63%  1.26%      0.48s 30.19%  github.com/prometheus/client_golang/prometheus.processMetric
         0     0%  1.26%      0.46s 28.93%  github.com/prometheus/common/expfmt.NewEncoder.func7
         0     0%  1.26%      0.46s 28.93%  github.com/prometheus/common/expfmt.encoderCloser.Encode
     0.02s  1.26%  2.52%      0.38s 23.90%  github.com/prometheus/common/expfmt.MetricFamilyToText
     0.01s  0.63%  3.14%      0.34s 21.38%  github.com/prometheus/client_golang/prometheus.checkMetricConsistency
         0     0%  3.14%      0.31s 19.50%  github.com/prometheus/common/expfmt.writeSample
     0.01s  0.63%  3.77%      0.30s 18.87%  github.com/prometheus/common/expfmt.writeNameAndLabelPairs
         0     0%  3.77%      0.21s 13.21%  internal/poll.ignoringEINTRIO (inline)
         0     0%  3.77%      0.21s 13.21%  syscall.Syscall
         0     0%  3.77%      0.20s 12.58%  bufio.(*Writer).Flush
     0.03s  1.89%  5.66%      0.20s 12.58%  bufio.(*Writer).WriteString
         0     0%  5.66%      0.20s 12.58%  internal/poll.(*FD).Write
         0     0%  5.66%      0.20s 12.58%  syscall.Write (inline)
         0     0%  5.66%      0.20s 12.58%  syscall.write
         0     0%  5.66%      0.19s 11.95%  bufio.(*Writer).Write
     0.19s 11.95% 17.61%      0.19s 11.95%  internal/runtime/syscall.Syscall6
         0     0% 17.61%      0.19s 11.95%  net.(*conn).Write
