Linux 6.17.0-20-generic (zry) 	07/26/26 	_x86_64_	(12 CPU)

01:29:08     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:29:09     all   11.91    0.08    6.29    1.43    0.00    0.17    0.00    2.01    0.00   78.10
01:29:09       0   35.71    0.00    6.12    0.00    0.00    0.00    0.00    2.04    0.00   56.12
01:29:09       1   11.34    0.00    8.25    0.00    0.00    1.03    0.00    1.03    0.00   78.35
01:29:09       2    6.12    0.00    2.04    0.00    0.00    0.00    0.00    2.04    0.00   89.80
01:29:09       3    5.15    0.00    5.15    6.19    0.00    0.00    0.00    3.09    0.00   80.41
01:29:09       4    5.94    0.00    7.92    0.00    0.00    0.00    0.00    1.98    0.00   84.16
01:29:09       5    5.94    0.00    5.94    0.00    0.00    0.99    0.00    1.98    0.00   85.15
01:29:09       6   43.00    0.00    8.00    1.00    0.00    0.00    0.00    3.00    0.00   45.00
01:29:09       7    5.05    0.00    8.08    0.00    0.00    0.00    0.00    1.01    0.00   85.86
01:29:09       8    5.00    1.00    5.00    4.00    0.00    0.00    0.00    2.00    0.00   83.00
01:29:09       9    9.90    0.00    6.93    2.97    0.00    0.00    0.00    1.98    0.00   78.22
01:29:09      10    5.94    0.00    5.94    0.00    0.00    0.00    0.00    1.98    0.00   86.14
01:29:09      11    4.04    0.00    6.06    3.03    0.00    0.00    0.00    2.02    0.00   84.85

01:29:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:29:10     all    2.68    0.00    2.34    4.77    0.00    0.00    0.00    2.51    0.00   87.70
01:29:10       0    4.00    0.00    3.00    4.00    0.00    0.00    0.00    2.00    0.00   87.00
01:29:10       1    5.00    0.00    3.00    1.00    0.00    0.00    0.00    2.00    0.00   89.00
01:29:10       2    1.00    0.00    2.00    7.00    0.00    0.00    0.00    3.00    0.00   87.00
01:29:10       3    4.00    0.00    2.00    9.00    0.00    0.00    0.00    3.00    0.00   82.00
01:29:10       4    1.02    0.00    2.04    2.04    0.00    0.00    0.00    3.06    0.00   91.84
01:29:10       5    3.00    0.00    2.00    9.00    0.00    0.00    0.00    1.00    0.00   85.00
01:29:10       6    2.94    0.00    2.94    9.80    0.00    0.00    0.00    4.90    0.00   79.41
01:29:10       7    3.03    0.00    4.04    4.04    0.00    0.00    0.00    3.03    0.00   85.86
01:29:10       8    4.00    0.00    2.00    2.00    0.00    0.00    0.00    2.00    0.00   90.00
01:29:10       9    2.04    0.00    2.04    0.00    0.00    0.00    0.00    2.04    0.00   93.88
01:29:10      10    1.02    0.00    1.02    5.10    0.00    0.00    0.00    2.04    0.00   90.82
01:29:10      11    1.00    0.00    2.00    4.00    0.00    0.00    0.00    2.00    0.00   91.00

01:29:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:29:11     all    4.34    0.33    4.50    0.83    0.00    0.25    0.00    2.67    0.00   87.07
01:29:11       0    5.10    0.00    5.10    1.02    0.00    0.00    0.00    3.06    0.00   85.71
01:29:11       1    7.00    0.00    5.00    0.00    0.00    1.00    0.00    2.00    0.00   85.00
01:29:11       2    6.93    0.00    3.96    0.00    0.00    0.00    0.00    1.98    0.00   87.13
01:29:11       3    6.06    1.01    3.03    0.00    0.00    0.00    0.00    2.02    0.00   87.88
01:29:11       4    1.98    0.00    3.96    0.00    0.00    0.00    0.00    2.97    0.00   91.09
01:29:11       5    2.02    0.00    3.03    0.00    0.00    0.00    0.00    2.02    0.00   92.93
01:29:11       6    5.00    2.00    4.00    0.00    0.00    1.00    0.00    4.00    0.00   84.00
01:29:11       7    9.00    0.00    9.00    1.00    0.00    1.00    0.00    2.00    0.00   78.00
01:29:11       8    1.00    0.00    4.00    0.00    0.00    0.00    0.00    2.00    0.00   93.00
01:29:11       9    2.97    0.99    4.95    0.00    0.00    0.00    0.00    3.96    0.00   87.13
01:29:11      10    3.00    0.00    4.00    3.00    0.00    0.00    0.00    3.00    0.00   87.00
01:29:11      11    2.00    0.00    4.00    5.00    0.00    0.00    0.00    3.00    0.00   86.00

01:29:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:29:12     all    2.70    0.00    0.76    0.51    0.00    0.25    0.00    0.00    0.00   95.79
01:29:12       0    3.96    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   94.06
01:29:12       1    4.17    0.00    0.00    3.12    0.00    0.00    0.00    0.00    0.00   92.71
01:29:12       2    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
01:29:12       3    2.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   96.00
01:29:12       4    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
01:29:12       5    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
01:29:12       6    5.05    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   93.94
01:29:12       7    5.05    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   92.93
01:29:12       8    2.02    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   95.96
01:29:12       9    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
01:29:12      10    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
01:29:12      11    2.02    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00   94.95

01:29:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:29:13     all    2.68    0.00    0.50    0.50    0.00    0.25    0.00    0.00    0.00   96.07
01:29:13       0    3.06    0.00    1.02    3.06    0.00    0.00    0.00    0.00    0.00   92.86
01:29:13       1    6.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   91.00
01:29:13       2    4.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.96
01:29:13       3    3.03    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   94.95
01:29:13       4    2.97    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   96.04
01:29:13       5    1.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.02
01:29:13       6    4.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.96
01:29:13       7    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
01:29:13       8    1.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   98.00
